Fecha,Producto 273,Producto 0,Producto 1,Producto 5,Producto 8,Producto 21,Producto 12,Producto 22,Producto 186,Producto 20,Producto 33,Producto 245,Producto 16,Producto 17,Producto 38,Producto 134,Producto 37,Producto 59,Producto 248,Producto 122
2022-03-17,0.0,7.0,108.5,10.5,10.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,0.0,24.5,66.5,17.5,14.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0
2022-03-19,0.0,14.0,45.5,3.5,3.5,3.5,7.0,3.5,0.0,10.5,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
2022-03-20,0.0,14.0,10.5,0.0,3.5,0.0,7.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,3.5,3.5,0.0,0.0
2022-03-21,0.0,45.5,28.0,10.5,7.0,7.0,14.0,0.0,0.0,3.5,0.0,0.0,10.5,7.0,3.5,0.0,0.0,0.0,0.0,0.0
2022-03-22,0.0,21.0,70.0,31.5,3.5,3.5,10.5,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23,0.0,35.0,7.0,7.0,7.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,7.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0
2022-03-24,0.0,24.5,7.0,3.5,0.0,3.5,7.0,10.5,0.0,14.0,0.0,0.0,7.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5
2022-03-25,0.0,3.5,0.0,7.0,3.5,0.0,7.0,0.0,0.0,0.0,3.5,0.0,3.5,3.5,0.0,3.5,0.0,3.5,0.0,0.0
2022-03-26,0.0,70.0,14.0,21.0,17.5,7.0,7.0,3.5,0.0,7.0,0.0,0.0,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2022-03-27,0.0,35.0,7.0,3.5,14.0,0.0,0.0,10.5,0.0,3.5,0.0,0.0,10.5,3.5,0.0,0.0,3.5,0.0,0.0,0.0
2022-03-28,0.0,21.0,24.5,0.0,3.5,24.5,3.5,3.5,0.0,17.5,3.5,0.0,0.0,0.0,3.5,7.0,7.0,0.0,0.0,3.5
2022-03-29,0.0,35.0,28.0,10.5,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,7.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30,0.0,49.0,10.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,7.0,0.0,0.0,0.0
2022-03-31,0.0,45.5,7.0,14.0,14.0,7.0,7.0,0.0,0.0,3.5,0.0,0.0,7.0,7.0,0.0,0.0,0.0,3.5,0.0,14.0
2022-04-01,3.5,28.0,7.0,28.0,7.0,7.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-02,0.0,112.0,17.5,17.5,7.0,7.0,7.0,3.5,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0
2022-04-03,0.0,21.0,0.0,3.5,10.5,3.5,7.0,3.5,0.0,3.5,3.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5
2022-04-04,10.5,35.0,108.5,3.5,10.5,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,14.0,3.5,0.0,0.0,0.0,0.0,0.0
2022-04-05,0.0,35.0,21.0,10.5,3.5,0.0,7.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0
2022-04-06,7.0,35.0,178.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
2022-04-07,10.5,10.5,7.0,7.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
2022-04-08,7.0,3.5,161.0,10.5,10.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0
2022-04-09,7.0,24.5,3.5,7.0,14.0,17.5,3.5,3.5,0.0,3.5,3.5,0.0,3.5,0.0,7.0,0.0,10.5,0.0,0.0,7.0
2022-04-10,14.0,31.5,17.5,7.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,3.5,7.0,0.0,0.0,3.5
2022-04-11,3.5,45.5,42.0,38.5,7.0,10.5,10.5,0.0,0.0,10.5,3.5,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,3.5
2022-04-12,7.0,17.5,14.0,17.5,3.5,3.5,0.0,3.5,0.0,7.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0
2022-04-13,10.5,35.0,14.0,17.5,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5
